# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Dijet selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d02-x01-y01
RatioPlot=1
LogY=0
LegendOnly=/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesCalo_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSSSoftDrop_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/Lund_Plane_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
XLabel=$C_2$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d} C_2}$
DrawOnly=/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesCalo_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSSSoftDrop_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01 //Users/jenniferroloff/Work/tuningStudies/Lund_Plane_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
Legend=1
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.091480e+00	3.935395e-01	3.862497e-01
1.000000e-01	1.800000e-01	2.285671e+00	3.256651e-01	2.821329e-01
1.800000e-01	2.400000e-01	1.658442e+00	2.262020e-01	1.985033e-01
2.400000e-01	3.000000e-01	1.484013e+00	1.402021e-01	1.447433e-01
3.000000e-01	3.600000e-01	1.315535e+00	8.791024e-02	9.869502e-02
3.600000e-01	4.200000e-01	1.170256e+00	5.034090e-02	1.245689e-01
4.200000e-01	4.800000e-01	9.420559e-01	3.060270e-02	1.167110e-01
4.800000e-01	5.200000e-01	7.430588e-01	2.322753e-02	1.006375e-01
5.200000e-01	5.800000e-01	5.901700e-01	1.950527e-02	9.242638e-02
5.800000e-01	6.400000e-01	4.016736e-01	2.052385e-02	5.819603e-02
6.400000e-01	7.000000e-01	2.579732e-01	1.205514e-02	5.346229e-02
7.000000e-01	7.600000e-01	1.198053e-01	7.388861e-03	3.348366e-02
7.600000e-01	8.600000e-01	1.872472e-02	2.561780e-03	4.898936e-03
8.600000e-01	1.000000e+00	5.821203e-05	2.329294e-05	4.990472e-05
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
ScaledBy=4.27902677814957794e-06
Title=SD Mass
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.079273e+00	1.147880e-02	1.147880e-02
1.000000e-01	1.800000e-01	2.441880e+00	1.142851e-02	1.142851e-02
1.800000e-01	2.400000e-01	1.780717e+00	1.126923e-02	1.126923e-02
2.400000e-01	3.000000e-01	1.515346e+00	1.039568e-02	1.039568e-02
3.000000e-01	3.600000e-01	1.289913e+00	9.591289e-03	9.591289e-03
3.600000e-01	4.200000e-01	1.122817e+00	8.948521e-03	8.948521e-03
4.200000e-01	4.800000e-01	8.856158e-01	7.947300e-03	7.947300e-03
4.800000e-01	5.200000e-01	6.751235e-01	8.498342e-03	8.498342e-03
5.200000e-01	5.800000e-01	5.138398e-01	6.053560e-03	6.053560e-03
5.800000e-01	6.400000e-01	3.715622e-01	5.147693e-03	5.147693e-03
6.400000e-01	7.000000e-01	2.271450e-01	4.024839e-03	4.024839e-03
7.000000e-01	7.600000e-01	9.749050e-02	2.636805e-03	2.636805e-03
7.600000e-01	8.600000e-01	1.442032e-02	7.855249e-04	7.855249e-04
8.600000e-01	1.000000e+00	6.112896e-05	4.322470e-05	4.322470e-05
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesCalo_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
LineColor=blue
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesCalo_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
ScaledBy=4.15845372056854367e-06
Title=SD Obs
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.859810e+00	1.090522e-02	1.090522e-02
1.000000e-01	1.800000e-01	2.415958e+00	1.120639e-02	1.120639e-02
1.800000e-01	2.400000e-01	1.785155e+00	1.112316e-02	1.112316e-02
2.400000e-01	3.000000e-01	1.550202e+00	1.036536e-02	1.036536e-02
3.000000e-01	3.600000e-01	1.351428e+00	9.678026e-03	9.678026e-03
3.600000e-01	4.200000e-01	1.169634e+00	9.003583e-03	9.003583e-03
4.200000e-01	4.800000e-01	9.580385e-01	8.148577e-03	8.148577e-03
4.800000e-01	5.200000e-01	7.414522e-01	8.779657e-03	8.779657e-03
5.200000e-01	5.800000e-01	5.688072e-01	6.278745e-03	6.278745e-03
5.800000e-01	6.400000e-01	4.043403e-01	5.293754e-03	5.293754e-03
6.400000e-01	7.000000e-01	2.513092e-01	4.173443e-03	4.173443e-03
7.000000e-01	7.600000e-01	1.156050e-01	2.830601e-03	2.830601e-03
7.600000e-01	8.600000e-01	1.792294e-02	8.633174e-04	8.633174e-04
8.600000e-01	1.000000e+00	1.485162e-04	6.641847e-05	6.641847e-05
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/JSSSoftDrop_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
LineColor=green
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/JSSSoftDrop_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
ScaledBy=4.27900846815775887e-06
Title=JSS Obs
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.036384e+00	1.139856e-02	1.139856e-02
1.000000e-01	1.800000e-01	2.432135e+00	1.140566e-02	1.140566e-02
1.800000e-01	2.400000e-01	1.800678e+00	1.133219e-02	1.133219e-02
2.400000e-01	3.000000e-01	1.537091e+00	1.046998e-02	1.046998e-02
3.000000e-01	3.600000e-01	1.300890e+00	9.631994e-03	9.631994e-03
3.600000e-01	4.200000e-01	1.121314e+00	8.942514e-03	8.942514e-03
4.200000e-01	4.800000e-01	9.005887e-01	8.014182e-03	8.014182e-03
4.800000e-01	5.200000e-01	7.125620e-01	8.730775e-03	8.730775e-03
5.200000e-01	5.800000e-01	5.222530e-01	6.102902e-03	6.102902e-03
5.800000e-01	6.400000e-01	3.640010e-01	5.095036e-03	5.095036e-03
6.400000e-01	7.000000e-01	2.096713e-01	3.866923e-03	3.866923e-03
7.000000e-01	7.600000e-01	1.015551e-01	2.691206e-03	2.691206e-03
7.600000e-01	8.600000e-01	1.792905e-02	8.758912e-04	8.758912e-04
8.600000e-01	1.000000e+00	9.169307e-05	5.293900e-05	5.293900e-05
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
LineColor=orange
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
ScaledBy=4.27867891509817458e-06
Title=ATLAS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.286624e+00	1.185850e-02	1.185850e-02
1.000000e-01	1.800000e-01	2.389161e+00	1.130401e-02	1.130401e-02
1.800000e-01	2.400000e-01	1.734220e+00	1.112068e-02	1.112068e-02
2.400000e-01	3.000000e-01	1.466731e+00	1.022715e-02	1.022715e-02
3.000000e-01	3.600000e-01	1.253439e+00	9.454332e-03	9.454332e-03
3.600000e-01	4.200000e-01	1.088211e+00	8.809184e-03	8.809184e-03
4.200000e-01	4.800000e-01	8.550227e-01	7.808507e-03	7.808507e-03
4.800000e-01	5.200000e-01	6.578470e-01	8.388556e-03	8.388556e-03
5.200000e-01	5.800000e-01	4.977530e-01	5.957803e-03	5.957803e-03
5.800000e-01	6.400000e-01	3.441483e-01	4.953955e-03	4.953955e-03
6.400000e-01	7.000000e-01	2.086568e-01	3.857408e-03	3.857408e-03
7.000000e-01	7.600000e-01	9.220553e-02	2.564234e-03	2.564234e-03
7.600000e-01	8.600000e-01	1.463308e-02	7.912665e-04	7.912665e-04
8.600000e-01	1.000000e+00	3.056199e-05	3.056199e-05	3.056199e-05
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/Lund_Plane_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
LineColor=lilac
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/Lund_Plane_tune.yoda/ATLAS_2019_I1724098/d02-x01-y01
ScaledBy=4.25542779815654883e-06
Title=Lund
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.049354e+00	1.139136e-02	1.139136e-02
1.000000e-01	1.800000e-01	2.421711e+00	1.134979e-02	1.134979e-02
1.800000e-01	2.400000e-01	1.774655e+00	1.121897e-02	1.121897e-02
2.400000e-01	3.000000e-01	1.520252e+00	1.038374e-02	1.038374e-02
3.000000e-01	3.600000e-01	1.304501e+00	9.618742e-03	9.618742e-03
3.600000e-01	4.200000e-01	1.121092e+00	8.916958e-03	8.916958e-03
4.200000e-01	4.800000e-01	8.977535e-01	7.979479e-03	7.979479e-03
4.800000e-01	5.200000e-01	7.048052e-01	8.659168e-03	8.659168e-03
