# BEGIN PLOT
LegendOnly=/SoftDropMass/d06-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/SoftDropMass/d06-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/SoftDropMass/d06-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesMass_tune.yoda/SoftDropMass/d06-x01-y01
DrawOnly=/SoftDropMass/d06-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/SoftDropMass/d06-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/SoftDropMass/d06-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropObservablesMass_tune.yoda/SoftDropMass/d06-x01-y01
RatioPlotReference=/SoftDropMass/d06-x01-y01
RatioPlot=1
LogY=1
Legend=1
# END PLOT

# BEGIN HISTO1D /SoftDropMass/d06-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/SoftDropMass/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.451020e-03	7.882910e-04	7.882910e-04
1.000000e+00	2.000000e+00	1.071270e-02	3.272191e-03	3.272191e-03
2.000000e+00	3.000000e+00	5.800300e-02	8.812056e-03	8.812056e-03
3.000000e+00	4.000000e+00	1.452040e-01	1.629867e-02	1.629867e-02
4.000000e+00	5.000000e+00	2.282400e-01	1.592383e-02	1.592383e-02
5.000000e+00	6.000000e+00	2.607350e-01	6.181668e-03	6.181668e-03
6.000000e+00	7.000000e+00	2.509770e-01	3.256076e-02	3.256076e-02
7.000000e+00	8.000000e+00	2.600480e-01	5.048659e-02	5.048659e-02
8.000000e+00	9.000000e+00	2.076820e-01	3.671640e-02	3.671640e-02
9.000000e+00	1.000000e+01	4.855830e-02	7.593570e-03	7.593570e-03
1.000000e+01	1.100000e+01	1.701470e-03	1.420534e-03	1.420534e-03
1.100000e+01	1.200000e+01	1.303100e-02	4.388875e-03	4.388875e-03
1.200000e+01	1.300000e+01	6.584180e-02	7.450886e-03	7.450886e-03
1.300000e+01	1.400000e+01	1.543540e-01	1.918052e-02	1.918052e-02
1.400000e+01	1.500000e+01	2.322490e-01	1.309749e-02	1.309749e-02
1.500000e+01	1.600000e+01	2.580480e-01	1.145924e-02	1.145924e-02
1.600000e+01	1.700000e+01	2.532390e-01	2.840945e-02	2.840945e-02
1.700000e+01	1.800000e+01	2.564630e-01	3.583305e-02	3.583305e-02
1.800000e+01	1.900000e+01	2.160430e-01	2.358462e-02	2.358462e-02
1.900000e+01	2.000000e+01	4.497230e-02	4.589910e-03	4.589910e-03
2.000000e+01	2.100000e+01	2.056070e-03	8.495899e-04	8.495899e-04
2.100000e+01	2.200000e+01	1.625990e-02	3.532864e-03	3.532864e-03
2.200000e+01	2.300000e+01	7.476760e-02	8.029084e-03	8.029084e-03
2.300000e+01	2.400000e+01	1.652030e-01	1.423096e-02	1.423096e-02
2.400000e+01	2.500000e+01	2.336510e-01	1.083591e-02	1.083591e-02
2.500000e+01	2.600000e+01	2.534420e-01	7.248500e-03	7.248500e-03
2.600000e+01	2.700000e+01	2.557160e-01	2.419191e-02	2.419191e-02
2.700000e+01	2.800000e+01	2.571910e-01	2.906411e-02	2.906411e-02
2.800000e+01	2.900000e+01	1.974650e-01	1.836495e-02	1.836495e-02
2.900000e+01	3.000000e+01	4.612460e-02	4.530762e-03	4.530762e-03
3.000000e+01	3.100000e+01	2.780840e-03	1.310385e-03	1.310385e-03
3.100000e+01	3.200000e+01	2.011460e-02	3.388850e-03	3.388850e-03
3.200000e+01	3.300000e+01	8.713480e-02	1.092323e-02	1.092323e-02
3.300000e+01	3.400000e+01	1.776640e-01	2.074160e-02	2.074160e-02
3.400000e+01	3.500000e+01	2.399340e-01	8.934288e-03	8.934288e-03
3.500000e+01	3.600000e+01	2.518430e-01	1.418693e-02	1.418693e-02
3.600000e+01	3.700000e+01	2.516430e-01	2.298751e-02	2.298751e-02
3.700000e+01	3.800000e+01	2.565800e-01	2.301286e-02	2.301286e-02
3.800000e+01	3.900000e+01	1.975050e-01	1.306735e-02	1.306735e-02
3.900000e+01	4.000000e+01	4.586020e-02	3.871779e-03	3.871779e-03
4.000000e+01	4.100000e+01	3.363920e-03	1.271215e-03	1.271215e-03
4.100000e+01	4.200000e+01	2.484960e-02	3.126590e-03	3.126590e-03
4.200000e+01	4.300000e+01	1.011310e-01	1.197961e-02	1.197961e-02
4.300000e+01	4.400000e+01	1.914850e-01	1.806736e-02	1.806736e-02
4.400000e+01	4.500000e+01	2.466870e-01	7.911684e-03	7.911684e-03
4.500000e+01	4.600000e+01	2.490170e-01	1.187303e-02	1.187303e-02
4.600000e+01	4.700000e+01	2.520100e-01	2.138633e-02	2.138633e-02
4.700000e+01	4.800000e+01	2.522850e-01	2.227329e-02	2.227329e-02
4.800000e+01	4.900000e+01	2.181970e-01	1.484489e-02	1.484489e-02
4.900000e+01	5.000000e+01	4.764540e-02	3.682651e-03	3.682651e-03
5.000000e+01	5.100000e+01	3.811130e-03	1.457701e-03	1.457701e-03
5.100000e+01	5.200000e+01	2.918450e-02	3.124059e-03	3.124059e-03
5.200000e+01	5.300000e+01	1.095020e-01	1.340178e-02	1.340178e-02
5.300000e+01	5.400000e+01	2.007790e-01	1.725864e-02	1.725864e-02
5.400000e+01	5.500000e+01	2.595980e-01	7.224288e-03	7.224288e-03
5.500000e+01	5.600000e+01	2.560670e-01	1.223389e-02	1.223389e-02
5.600000e+01	5.700000e+01	2.436480e-01	1.838010e-02	1.838010e-02
5.700000e+01	5.800000e+01	2.406870e-01	1.676567e-02	1.676567e-02
5.800000e+01	5.900000e+01	1.933920e-01	1.195982e-02	1.195982e-02
5.900000e+01	6.000000e+01	4.667260e-02	3.722685e-03	3.722685e-03
6.000000e+01	6.100000e+01	4.413400e-03	1.268990e-03	1.268990e-03
6.100000e+01	6.200000e+01	3.061960e-02	2.639325e-03	2.639325e-03
6.200000e+01	6.300000e+01	1.127680e-01	1.329487e-02	1.329487e-02
6.300000e+01	6.400000e+01	2.018120e-01	1.604639e-02	1.604639e-02
6.400000e+01	6.500000e+01	2.579360e-01	6.583117e-03	6.583117e-03
6.500000e+01	6.600000e+01	2.589620e-01	1.348991e-02	1.348991e-02
6.600000e+01	6.700000e+01	2.474050e-01	1.658657e-02	1.658657e-02
6.700000e+01	6.800000e+01	2.356970e-01	1.519333e-02	1.519333e-02
6.800000e+01	6.900000e+01	1.783890e-01	1.202554e-02	1.202554e-02
6.900000e+01	7.000000e+01	5.033090e-02	4.666089e-03	4.666089e-03
7.000000e+01	7.100000e+01	5.583320e-03	1.243267e-03	1.243267e-03
7.100000e+01	7.200000e+01	3.709650e-02	3.393921e-03	3.393921e-03
7.200000e+01	7.300000e+01	1.233910e-01	1.413413e-02	1.413413e-02
7.300000e+01	7.400000e+01	2.099080e-01	1.386994e-02	1.386994e-02
7.400000e+01	7.500000e+01	2.588650e-01	7.266487e-03	7.266487e-03
7.500000e+01	7.600000e+01	2.612550e-01	1.273858e-02	1.273858e-02
7.600000e+01	7.700000e+01	2.504530e-01	1.341395e-02	1.341395e-02
7.700000e+01	7.800000e+01	2.294280e-01	1.062977e-02	1.062977e-02
7.800000e+01	7.900000e+01	1.808650e-01	1.195040e-02	1.195040e-02
7.900000e+01	8.000000e+01	4.729000e-02	4.827826e-03	4.827826e-03
8.000000e+01	8.100000e+01	1.043100e-02	9.769873e-04	9.769873e-04
8.100000e+01	8.200000e+01	5.868170e-02	6.191277e-03	6.191277e-03
8.200000e+01	8.300000e+01	1.555600e-01	1.730443e-02	1.730443e-02
8.300000e+01	8.400000e+01	2.322070e-01	1.072048e-02	1.072048e-02
8.400000e+01	8.500000e+01	2.695850e-01	7.578822e-03	7.578822e-03
8.500000e+01	8.600000e+01	2.576150e-01	1.069442e-02	1.069442e-02
8.600000e+01	8.700000e+01	2.273400e-01	9.054248e-03	9.054248e-03
8.700000e+01	8.800000e+01	2.454610e-01	7.540339e-03	7.540339e-03
8.800000e+01	8.900000e+01	1.819030e-01	8.450925e-03	8.450925e-03
8.900000e+01	9.000000e+01	3.251530e-02	2.258698e-03	2.258698e-03
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/SoftDropMass/d06-x01-y01
LineColor=red
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/SoftDropMass/d06-x01-y01
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.958864e-03	6.925630e-04	6.925630e-04
1.000000e+00	2.000000e+00	1.077375e-02	1.624204e-03	1.624204e-03
2.000000e+00	3.000000e+00	5.166503e-02	3.556768e-03	3.556768e-03
3.000000e+00	4.000000e+00	1.263467e-01	5.562104e-03	5.562104e-03
4.000000e+00	5.000000e+00	2.223310e-01	7.378315e-03	7.378315e-03
5.000000e+00	6.000000e+00	2.536729e-01	7.881233e-03	7.881233e-03
6.000000e+00	7.000000e+00	2.566112e-01	7.926745e-03	7.926745e-03
7.000000e+00	8.000000e+00	2.673849e-01	8.091436e-03	8.091436e-03
8.000000e+00	9.000000e+00	2.137610e-01	7.234714e-03	7.234714e-03
9.000000e+00	1.000000e+01	5.362390e-02	3.623567e-03	3.623567e-03
1.000000e+01	1.100000e+01	2.369668e-03	9.674130e-04	9.674130e-04
1.100000e+01	1.200000e+01	9.873618e-03	1.974724e-03	1.974724e-03
1.200000e+01	1.300000e+01	6.437599e-02	5.042317e-03	5.042317e-03
1.300000e+01	1.400000e+01	1.457346e-01	7.586640e-03	7.586640e-03
1.400000e+01	1.500000e+01	2.191943e-01	9.304280e-03	9.304280e-03
1.500000e+01	1.600000e+01	2.500000e-01	9.936608e-03	9.936608e-03
1.600000e+01	1.700000e+01	2.559242e-01	1.005365e-02	1.005365e-02
1.700000e+01	1.800000e+01	2.748815e-01	1.041936e-02	1.041936e-02
1.800000e+01	1.900000e+01	2.199842e-01	9.321030e-03	9.321030e-03
1.900000e+01	2.000000e+01	5.529226e-02	4.673049e-03	4.673049e-03
2.000000e+01	2.100000e+01	1.226994e-03	8.676157e-04	8.676157e-04
2.100000e+01	2.200000e+01	1.901840e-02	3.415806e-03	3.415806e-03
2.200000e+01	2.300000e+01	8.036810e-02	7.021793e-03	7.021793e-03
2.300000e+01	2.400000e+01	1.656442e-01	1.008078e-02	1.008078e-02
2.400000e+01	2.500000e+01	2.214724e-01	1.165644e-02	1.165644e-02
2.500000e+01	2.600000e+01	2.466258e-01	1.230058e-02	1.230058e-02
2.600000e+01	2.700000e+01	2.668712e-01	1.279549e-02	1.279549e-02
2.700000e+01	2.800000e+01	2.650307e-01	1.275129e-02	1.275129e-02
2.800000e+01	2.900000e+01	1.969325e-01	1.099170e-02	1.099170e-02
2.900000e+01	3.000000e+01	5.337423e-02	5.722319e-03	5.722319e-03
3.000000e+01	3.100000e+01	1.762115e-03	1.246003e-03	1.246003e-03
3.100000e+01	3.200000e+01	2.643172e-02	4.825750e-03	4.825750e-03
3.200000e+01	3.300000e+01	7.488987e-02	8.122947e-03	8.122947e-03
3.300000e+01	3.400000e+01	1.453744e-01	1.131738e-02	1.131738e-02
3.400000e+01	3.500000e+01	2.237885e-01	1.404174e-02	1.404174e-02
3.500000e+01	3.600000e+01	2.528634e-01	1.492606e-02	1.492606e-02
3.600000e+01	3.700000e+01	2.422907e-01	1.461068e-02	1.461068e-02
3.700000e+01	3.800000e+01	2.810573e-01	1.573618e-02	1.573618e-02
3.800000e+01	3.900000e+01	1.682819e-01	1.217645e-02	1.217645e-02
3.900000e+01	4.000000e+01	6.167401e-02	7.371454e-03	7.371454e-03
